No,Cruise,Sample,Station,Depth.Category,depth,Size.Fraction,Min.Size.Fraction,lat,lon,Depth.m,Temp,O2,time,PANGAEA.sample.identifier,PO4.umol.l,NO2NO3.umol.l,SI.umol.l,Biome,OceanRegion1,OceanRegion2,PO4.WOA,NO3.WOA,NP.ratio.WOA,Pstar.WOA,Nstar.WOA,PO4.100m.WOA,NO3.100m.WOA,PO4.200m.WOA,NO3.200m.WOA,PO4.500m.WOA,NO3.500m.WOA,tot.counts,recA.sums,phnA.sums,phnC.sums,phnD.sums,phnE.sums,phnG.sums,phnH.sums,phnI.sums,phnJ.sums,phnK.sums,phnL.sums,phnM.sums,phnP.sums,phnW.sums,phnX.sums,phoA.sums,phoD.sums,phoX.sums,pstA.sums,pstB.sums,pstC.sums,ptxD.sums,phnZ.sums
1,TARA,TARA_004_DCM_0.22-1.6,4,DCM,40,0.22-1.6,0.22,36.5533,-6.5669,38.7,16.2,,9/15/09 18:00,TARA_X000000368,,,,Westerlies,North Atlantic Ocean,North Atlantic Subtropical Gyral Province,0.1544,2.9587,19.16256477,-0.03051875,3.2083,19.3339,343.26,55.432,932.3317,262.1078,4444.9138,33013700,22266.96896,5103.427919,3730.191541,4743.966806,5568.155049,69.88662112,68.90331378,75.17528559,92.83101279,82.72938421,75.43078126,5.649795215,10374.81558,1612.936733,115.525536,1942.826948,4440.965097,1530.126398,12722.875,13249.44608,12938.12672,13553.83954,10537.90629
2,TARA,TARA_004_SRF_0.22-1.6,4,SRF,5,0.22-1.6,0.22,36.5533,-6.5669,10,20.5,,9/15/09 11:30,TARA_Y200000002,,,,Westerlies,North Atlantic Ocean,North Atlantic Subtropical Gyral Province,0.1302,2.4969,19.17741935,-0.02585625,3.1337,19.3339,343.26,55.432,932.3317,262.1078,4444.9138,8368320,23291.0449,2510.498794,3956.950237,4288.953919,4853.39795,268.2228304,279.333649,312.5060567,345.8897879,299.8045626,337.6787612,14.96030296,9363.479461,992.3352889,118.2809446,1516.859126,4165.923968,1340.27406,13383.2344,13107.37562,12650.58751,15983.07528,7605.482879
3,TARA,TARA_007_DCM_0.22-1.6,7,DCM,42,0.22-1.6,0.22,37.0541,1.9478,41.7,17.4,,9/23/09 16:08,TARA_A200000159,0.06,0.03,0.5,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.153,2.2716,14.84705882,0.011025,2.5436,16.6584,228.4884,42.3981,645.0132,153.4092,2655.1662,16402800,14617.61991,1638.295119,1564.126148,2508.102497,2570.749937,154.7832902,173.6182646,265.5162901,256.636731,236.3648046,190.3327992,6.046240512,3220.239461,316.0163312,70.90656286,1035.737143,1749.859484,1342.752447,4387.752953,5348.003606,4269.426471,5871.758661,2632.264315
4,TARA,TARA_007_SRF_0.22-1.6,7,SRF,5,0.22-1.6,0.22,37.051,1.9378,7.5,23.8,,9/23/09 12:50,TARA_A200000113,0.01,0.03,0.52,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.1398,1.281,9.163090129,0.0597375,1.7642,16.6584,228.4884,42.3981,645.0132,153.4092,2655.1662,5753110,13103.07412,2139.39299,3470.03752,4064.422524,5541.236247,862.7841978,1384.607172,1994.673028,1758.090861,1662.50606,1420.560939,24.22713521,5454.937024,627.749941,627.7549133,1708.859762,2771.629918,1291.077807,6511.926501,7348.072742,6910.785112,10650.12851,4654.984324
5,TARA,TARA_009_DCM_0.22-1.6,9,DCM,55,0.22-1.6,0.22,39.0609,5.9422,55,16.2,,9/28/09 16:59,TARA_X000001036,0.02,0.08,0.6,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.1608,2.0711,12.87997512,0.03135625,2.2183,17.0287,220.772,38.8047,661.5494,140.8481,2591.915,34750400,21443.9374,5430.273481,4521.487665,5758.693641,7876.513784,773.3709035,763.6611671,942.5662988,912.9976761,966.9374508,938.5334867,16.68617272,9561.881016,1270.576009,435.425686,1850.475982,3420.255172,2962.286011,13279.66363,13366.82884,13317.56622,14679.67414,9278.018985
6,TARA,TARA_009_SRF_0.22-1.6,9,SRF,5,0.22-1.6,0.22,39.1633,5.916,5.8,23.9,,9/28/09 12:18,TARA_X000000950,0.02,0.03,0.75,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.1511,1.3207,8.740569159,0.06855625,1.6231,17.0287,220.772,38.8047,661.5494,140.8481,2591.915,,22238.95692,4169.601753,8076.618551,8367.843547,13370.31951,3407.997867,4407.456708,4860.772377,4205.649708,4444.067596,4318.768208,44.54050005,13644.8004,1103.016864,2539.946009,3571.914811,6553.600631,2664.940327,12070.8947,11013.32756,11781.75072,19389.81736,9741.067932
7,TARA,TARA_018_DCM_<-0.22,18,DCM,60,<-0.22,Virome,35.7528,14.2765,61.6,18.4,237.9,11/2/09 14:07,TARA_S200000501,0.026,0.12,0.62,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0951,0.1142,1.20084122,0.0879625,1.3126,10.6851,39.2705,22.7683,160.9776,64.1195,1161.9918,33992800,3994.825058,14.46240662,42.53157089,38.05864859,43.47689636,2.152803074,3.115318204,2.878630646,4.616220385,2.13811463,1.933636934,3.197642139,55.91835559,1.705951293,0.875965858,24.07203858,68.74876467,45.13419193,93.26910981,91.72828349,75.43379563,93.88443912,28.64588837
8,TARA,TARA_018_DCM_0.22-1.6,18,DCM,60,0.22-1.6,0.22,35.7528,14.2765,61.6,18.4,237.9,11/2/09 14:07,TARA_A100000172,0.026,0.12,0.62,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0951,0.1142,1.20084122,0.0879625,1.3126,10.6851,39.2705,22.7683,160.9776,64.1195,1161.9918,5380540,23348.24066,3813.170083,8103.308408,8628.378418,12403.53799,1611.215664,1685.404527,1910.035548,1784.720188,1917.376031,1854.761515,4.604258613,9255.828809,698.7048469,1038.482207,1933.622621,4769.349241,4199.749687,11605.89788,11407.45743,11190.97308,14276.42518,8023.537158
9,TARA,TARA_018_SRF_<-0.22,18,SRF,5,<-0.22,Virome,35.759,14.2574,5.4,21.4,207.8,11/2/09 8:13,TARA_A100000164,0.013,0.02,0.56,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0825,0.7728,9.367272727,0.0342,2.1728,10.6851,39.2705,22.7683,160.9776,64.1195,1161.9918,34934300,1942.010251,321.6386824,362.7305419,404.4027822,438.2655288,74.04142712,71.87522426,85.76197497,93.77927628,82.02654539,104.6962142,41.3844419,735.9774696,22.22898134,3.952053923,166.0352019,678.309877,624.7125627,553.4911287,651.0256397,339.6245258,869.3592202,135.047176
10,TARA,TARA_018_SRF_0.22-1.6,18,SRF,5,0.22-1.6,0.22,35.759,14.2574,5.4,21.4,207.8,11/2/09 8:13,TARA_A100000171,0.013,0.02,0.56,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0825,0.7728,9.367272727,0.0342,2.1728,10.6851,39.2705,22.7683,160.9776,64.1195,1161.9918,10147200,24285.57186,3794.649116,7885.349347,8364.874883,12260.11144,1852.451012,1998.193425,2152.090264,1954.975813,2146.000286,2125.797524,6.809344948,9824.739401,851.3320499,1315.32386,1811.130435,4560.476015,4449.112629,12820.85695,12286.51237,12235.02722,16554.36938,9113.107529
