depth,chl01_darwin_clim,chl01_darwin_clim_std,month1,month2,lat1,lat2,lon1,lon2
5.0,0.0155252756442,0.00546526920747,4,6,27.38,48.4,-173.96,-127.46
15.0,0.0157043954197,0.00549299101177,4,6,27.38,48.4,-173.96,-127.46
25.0,0.0158495932047,0.00527671354786,4,6,27.38,48.4,-173.96,-127.46
35.0,0.0148816925675,0.00463099543719,4,6,27.38,48.4,-173.96,-127.46
45.0,0.0129880411369,0.00430195333006,4,6,27.38,48.4,-173.96,-127.46
55.0,0.0109488912112,0.00446531745377,4,6,27.38,48.4,-173.96,-127.46
65.0,0.00916182285516,0.00478470304123,4,6,27.38,48.4,-173.96,-127.46
75.005,0.00772372358472,0.00509787810079,4,6,27.38,48.4,-173.96,-127.46
85.025,0.00660164599381,0.0053813278563,4,6,27.38,48.4,-173.96,-127.46
95.095,0.005700584172,0.00561030227119,4,6,27.38,48.4,-173.96,-127.46
105.31,0.00488713934772,0.00570229368144,4,6,27.38,48.4,-173.96,-127.46
115.87,0.00402349286031,0.00550470041126,4,6,27.38,48.4,-173.96,-127.46
127.15,0.00303346776363,0.00483537889268,4,6,27.38,48.4,-173.96,-127.46
139.74,0.00196792503868,0.00361339347051,4,6,27.38,48.4,-173.96,-127.46
154.47,0.00100479975195,0.00207136817626,4,6,27.38,48.4,-173.96,-127.46
172.4,0.000355815191749,0.000793887637916,4,6,27.38,48.4,-173.96,-127.46
194.735,7.58166842812e-05,0.000193016514179,4,6,27.38,48.4,-173.96,-127.46
222.71,8.39742346047e-06,5.76996741782e-05,4,6,27.38,48.4,-173.96,-127.46
257.47,-5.49212563351e-06,1.76046097158e-05,4,6,27.38,48.4,-173.96,-127.46
299.93,-7.75613529329e-06,5.82109906365e-06,4,6,27.38,48.4,-173.96,-127.46
350.68,-7.05297321313e-06,3.62593919408e-06,4,6,27.38,48.4,-173.96,-127.46
409.93,-6.16844823874e-06,2.96375734545e-06,4,6,27.38,48.4,-173.96,-127.46
477.47,-5.36299500904e-06,2.89748706462e-06,4,6,27.38,48.4,-173.96,-127.46
552.71,-4.3841750679e-06,2.82581215303e-06,4,6,27.38,48.4,-173.96,-127.46
634.735,-3.16451214418e-06,2.4332872116e-06,4,6,27.38,48.4,-173.96,-127.46
722.4,-1.8914167273e-06,1.72847313724e-06,4,6,27.38,48.4,-173.96,-127.46
814.47,-8.84796573244e-07,9.72258365757e-07,4,6,27.38,48.4,-173.96,-127.46
909.74,-2.85779065159e-07,3.84196174529e-07,4,6,27.38,48.4,-173.96,-127.46
1007.155,-4.11951711121e-08,7.19435091808e-08,4,6,27.38,48.4,-173.96,-127.46
1105.905,-6.69735075221e-11,1.91382993726e-10,4,6,27.38,48.4,-173.96,-127.46
1205.535,-2.89194869551e-11,6.11549920192e-11,4,6,27.38,48.4,-173.96,-127.46
1306.205,-1.55679394145e-11,2.21544462993e-11,4,6,27.38,48.4,-173.96,-127.46
1409.15,-9.80135871681e-12,1.23521300674e-11,4,6,27.38,48.4,-173.96,-127.46
1517.095,-6.02083834409e-12,7.42058726643e-12,4,6,27.38,48.4,-173.96,-127.46
1634.175,-3.23123085849e-12,3.99188743247e-12,4,6,27.38,48.4,-173.96,-127.46
1765.135,-1.34819703687e-12,1.68427818386e-12,4,6,27.38,48.4,-173.96,-127.46
1914.15,-3.8169328443e-13,4.90196273364e-13,4,6,27.38,48.4,-173.96,-127.46
2084.035,-4.86673236639e-14,7.33895225772e-14,4,6,27.38,48.4,-173.96,-127.46
2276.225,-5.86029848587e-15,1.11131399429e-14,4,6,27.38,48.4,-173.96,-127.46
2491.25,-2.7866877034e-15,4.0944489372e-15,4,6,27.38,48.4,-173.96,-127.46
2729.25,-1.28323643991e-15,1.82990690549e-15,4,6,27.38,48.4,-173.96,-127.46
2990.25,-4.49890580809e-16,6.63031270553e-16,4,6,27.38,48.4,-173.96,-127.46
3274.25,-1.14011134647e-16,1.89487391591e-16,4,6,27.38,48.4,-173.96,-127.46
3581.25,-5.6138003868e-17,1.03634983975e-16,4,6,27.38,48.4,-173.96,-127.46
3911.25,-5.30884212273e-17,9.38264205892e-17,4,6,27.38,48.4,-173.96,-127.46
4264.25,-4.97116198564e-17,8.48800819378e-17,4,6,27.38,48.4,-173.96,-127.46
4640.25,-4.30072524485e-17,6.96308832879e-17,4,6,27.38,48.4,-173.96,-127.46
5039.25,-3.32178070973e-17,5.01621061961e-17,4,6,27.38,48.4,-173.96,-127.46
5461.25,-1.92090050486e-17,3.1386206007e-17,4,6,27.38,48.4,-173.96,-127.46
