depth,NO3,NO3_std,time1,time2,lat1,lat2,lon1,lon2
0.494024991989,4.07384149396,4.07609056433,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1.54137504101,4.07391162631,4.07614290631,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
2.64566898346,4.07410783786,4.07620179374,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
3.81949496269,4.07457713606,4.07630518351,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
5.07822418213,4.07537236643,4.07635767553,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
6.44061422348,4.07661671315,4.07633852507,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
7.92956018448,4.0784587264,4.07624793378,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
9.5729970932,4.08103938104,4.07604337864,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
11.404999733,4.08454250492,4.07563164628,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
13.4671401978,4.08935197393,4.07507005461,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
15.8100700378,4.09591381405,4.07435905437,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
18.4955596924,4.10487149555,4.0736058836,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
21.5988197327,4.11727938901,4.07311560113,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
25.2114105225,4.13449355497,4.07325604788,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
29.4447307587,4.15867535592,4.0749596086,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
34.4341506958,4.19324112264,4.07981787364,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
40.3440513611,4.24356154996,4.09060000354,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
47.3736915588,4.31827201899,4.11161878314,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
55.764289856,4.43152115836,4.14969834493,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
65.8072662354,4.60771939965,4.21711434981,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
77.8538513184,4.89593752602,4.34490830594,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
92.3260726929,5.40607343496,4.62051141402,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
109.729301453,6.32120434561,5.14229625128,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
130.666000366,7.76010172318,5.75325803557,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
155.850692749,9.80003478147,6.12047866739,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
186.125595093,12.4113625162,6.04853057735,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
222.475204468,15.3671186277,5.70861389402,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
266.040313721,18.4836279438,5.3344936326,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
318.127410889,21.7984542504,5.04045554601,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
380.213012695,25.4754225456,4.74291756246,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
453.937713623,29.5682044762,4.27622018561,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
541.088928223,33.859580277,3.56128757247,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
643.566772461,37.8857666567,2.68332822961,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
763.333129883,41.1096430385,1.81165614618,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
902.339294434,43.1268588474,1.05410088197,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1062.43994141,43.9600488229,0.562663617144,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1245.29101562,44.0660192436,0.451745361915,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1452.25097656,43.8011675437,0.503062963872,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1684.28405762,43.2265211681,0.569732751779,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1941.89294434,42.3899537202,0.581647518521,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
2225.07788086,41.4012535155,0.551493754139,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
2533.3359375,40.3668565186,0.524543552519,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
2865.70288086,39.3533623138,0.459816596511,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
3220.82006836,38.4757685889,0.439008475378,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
3597.03198242,37.797327118,0.464076782341,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
3992.48388672,37.3393728242,0.487570342223,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
4405.22412109,37.0295672376,0.421808706524,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
4833.29101562,36.8428619056,0.366772233875,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
5274.78417969,36.6849321348,0.296212853005,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
5727.91699219,,,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
