adt,start_time,end_time,lat1,lat2,lon1,lon2,
0.855,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8534,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8566,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8607,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8634,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.869,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8824,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8998,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9196,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9401,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9468,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.933,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9156,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.912,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9141,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.904,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8834,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8646,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.856,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8602,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8737,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8848,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.878,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8557,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.839,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8452,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8707,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8931,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9064,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.921,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9314,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9302,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8511,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8482,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8518,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8582,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8653,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.873,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8788,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8824,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8912,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9048,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9052,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8837,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8569,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8452,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8512,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8576,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8473,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8283,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8222,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8358,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8592,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8748,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8668,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8422,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8274,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.837,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8579,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8654,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8625,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8684,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8807,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.892,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8489,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8513,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8576,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8676,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8794,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8861,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8809,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8717,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8708,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8763,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8758,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8596,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8332,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8167,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8243,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8366,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8256,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8048,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8059,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8271,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.849,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8627,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8602,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8425,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8306,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8382,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8515,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8506,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8427,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8459,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8576,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8701,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8415,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8515,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8662,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8837,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8992,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9019,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.885,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8642,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8546,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8505,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8464,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8378,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8211,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8111,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8211,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8298,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8154,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7979,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
