sst,start_time,end_time,lat1,lat2,lon1,lon2,
18.61999348,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
18.669993479,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
18.729993478,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
18.859993475,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.039993471,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.329993464,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.689993456,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.089993447,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.739993433,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
21.199993423,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
21.589993414,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
21.729993411,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
21.599993414,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
21.289993421,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
21.219993422,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.919993429,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.609993436,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.309993443,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.009993449,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.729993455,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.469993461,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.389993463,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.339993464,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.409993463,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.759993455,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.199993445,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.499993438,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.619993436,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.689993434,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.759993432,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.749993433,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.559993437,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
18.379993486,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
18.509993483,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
18.669993479,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
18.929993473,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.259993466,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.52999346,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.619993458,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.719993456,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.95999345,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.119993447,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.319993442,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.40999344,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.369993441,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.139993446,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.119993447,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
20.069993448,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.95999345,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.869993452,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.739993455,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.569993459,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.429993462,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.299993465,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.139993469,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.07999347,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.269993466,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.619993458,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
19.899993452,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
