time,lat,lon,Fe
2017-01-07,23.5,-177.0,4.80412090837e-05
2017-01-07,23.5,-176.5,4.36993213953e-05
2017-01-07,23.5,-176.0,3.75244562747e-05
2017-01-07,23.5,-175.5,3.42684070347e-05
2017-01-07,23.5,-175.0,3.51365160896e-05
2017-01-07,23.5,-174.5,3.99085365643e-05
2017-01-07,23.5,-174.0,3.7622943637e-05
2017-01-07,23.5,-173.5,3.67936627299e-05
2017-01-07,23.5,-173.0,3.72066133423e-05
2017-01-07,23.5,-172.5,2.3047265131e-05
2017-01-07,23.5,-172.0,3.02311036648e-05
2017-01-07,23.5,-171.5,3.58224242518e-05
2017-01-07,23.5,-171.0,3.8884638343e-05
2017-01-07,23.5,-170.5,3.68149412679e-05
2017-01-07,23.5,-170.0,3.53420691681e-05
2017-01-07,23.5,-169.5,3.39933103533e-05
2017-01-07,23.5,-169.0,3.60833801096e-05
2017-01-07,23.5,-168.5,3.24453867506e-05
2017-01-07,23.5,-168.0,3.16147161357e-05
2017-01-07,23.5,-167.5,3.41069098795e-05
2017-01-07,23.5,-167.0,3.36414232152e-05
2017-01-07,23.5,-166.5,3.91645226046e-05
2017-01-07,23.5,-166.0,5.07416771143e-05
2017-01-07,23.5,-165.5,3.52786664735e-05
2017-01-07,23.5,-165.0,7.5093616033e-05
2017-01-07,23.5,-164.5,7.70543265389e-05
2017-01-07,23.5,-164.0,4.28463572462e-05
2017-01-07,23.5,-163.5,4.2992982344e-05
2017-01-07,23.5,-163.0,4.56674169982e-05
2017-01-07,23.5,-162.5,4.59913499071e-05
2017-01-07,23.5,-162.0,4.66916717414e-05
2017-01-07,23.5,-161.5,4.11387700296e-05
2017-01-07,23.5,-161.0,4.3027837819e-05
2017-01-07,23.5,-160.5,4.45628502348e-05
2017-01-07,23.5,-160.0,5.44566719327e-05
2017-01-07,23.5,-159.5,5.14960884175e-05
2017-01-07,23.5,-159.0,4.72357642138e-05
2017-01-07,23.5,-158.5,5.12129809067e-05
2017-01-07,23.5,-158.0,5.31983023393e-05
2017-01-07,23.5,-157.5,5.35937215318e-05
2017-01-07,23.5,-157.0,6.3634957769e-05
2017-01-07,23.5,-156.5,6.76234194543e-05
2017-01-07,23.5,-156.0,5.76535931032e-05
2017-01-07,23.5,-155.5,4.94112318847e-05
2017-01-07,23.5,-155.0,4.68162907055e-05
2017-01-07,23.5,-154.5,4.19441676058e-05
2017-01-07,23.5,-154.0,3.63695253327e-05
2017-01-07,23.5,-153.5,3.66556269e-05
2017-01-07,23.5,-153.0,4.0857536078e-05
2017-01-07,23.5,-152.5,4.06443541578e-05
2017-01-07,23.5,-152.0,4.0859416913e-05
2017-01-07,23.5,-151.5,4.17830633523e-05
2017-01-07,23.5,-151.0,3.61378333764e-05
2017-01-07,23.5,-150.5,2.7732728995e-05
2017-01-07,23.5,-150.0,2.95102436212e-05
2017-01-07,23.5,-149.5,2.8586922781e-05
2017-01-07,23.5,-149.0,2.97462102026e-05
2017-01-07,23.5,-148.5,3.037870556e-05
2017-01-07,23.5,-148.0,2.89735417027e-05
2017-01-07,23.5,-147.5,2.85521309706e-05
2017-01-07,23.5,-147.0,3.11205840262e-05
2017-01-07,23.5,-146.5,3.02043099509e-05
2017-01-07,23.5,-146.0,2.08656292671e-05
2017-01-07,23.5,-145.5,2.17341421376e-05
2017-01-07,23.5,-145.0,2.42662445089e-05
2017-01-07,23.5,-144.5,2.47830175795e-05
2017-01-07,23.5,-144.0,2.37859694607e-05
2017-01-07,23.5,-143.5,2.60699835053e-05
2017-01-07,23.5,-143.0,2.83503413812e-05
2017-01-07,23.5,-142.5,2.78161187452e-05
2017-01-07,23.5,-142.0,2.64885165961e-05
2017-01-07,23.5,-141.5,2.39092278207e-05
2017-01-07,23.5,-141.0,2.45799819822e-05
2017-01-07,23.5,-140.5,2.45039245783e-05
2017-01-07,23.5,-140.0,2.22700400627e-05
2017-01-07,23.5,-139.5,2.38561806327e-05
2017-01-07,23.5,-139.0,2.66568131337e-05
2017-01-07,23.5,-138.5,2.73239693342e-05
2017-01-07,23.5,-138.0,2.71730823442e-05
2017-01-07,23.5,-137.5,2.76145892713e-05
2017-01-07,23.5,-137.0,2.66659499175e-05
