time,fco2,fco2_std,lat1,lat2,lon1,lon2,
2012-02-09,355.766232602,8.16247992679,-36.98,51.65,-173.85,-23.95,
2012-02-10,353.662601125,8.17055965648,-36.98,51.65,-173.85,-23.95,
2012-02-11,349.604761634,4.91373814641,-36.98,51.65,-173.85,-23.95,
2012-02-12,359.851754502,3.10948874679,-36.98,51.65,-173.85,-23.95,
2012-02-13,356.163189518,2.5363730453,-36.98,51.65,-173.85,-23.95,
2012-02-14,342.012046093,9.69737870246,-36.98,51.65,-173.85,-23.95,
2012-02-15,335.592864136,2.13640957636,-36.98,51.65,-173.85,-23.95,
2012-02-16,338.728734182,9.53582926669,-36.98,51.65,-173.85,-23.95,
2012-02-17,344.123796535,27.6919413118,-36.98,51.65,-173.85,-23.95,
2012-02-18,341.876619623,29.1527599155,-36.98,51.65,-173.85,-23.95,
2012-02-19,343.321419681,10.6837749598,-36.98,51.65,-173.85,-23.95,
2012-02-20,351.818490706,16.8203123143,-36.98,51.65,-173.85,-23.95,
2012-02-21,408.429274396,79.553233775,-36.98,51.65,-173.85,-23.95,
2012-02-22,401.457927795,66.3455798856,-36.98,51.65,-173.85,-23.95,
2012-02-23,465.204443074,133.831865827,-36.98,51.65,-173.85,-23.95,
2012-02-24,419.364367123,92.4740440904,-36.98,51.65,-173.85,-23.95,
2012-02-25,397.745539203,105.971219703,-36.98,51.65,-173.85,-23.95,
2012-02-26,347.764768553,13.4202216001,-36.98,51.65,-173.85,-23.95,
2012-02-27,427.073717246,163.69181666,-36.98,51.65,-173.85,-23.95,
2012-02-28,395.037249462,118.748783275,-36.98,51.65,-173.85,-23.95,
2012-02-29,411.314514906,152.812581482,-36.98,51.65,-173.85,-23.95,
2012-03-01,335.171870353,38.0209655486,-36.98,51.65,-173.85,-23.95,
2012-03-02,338.638622619,27.2285831089,-36.98,51.65,-173.85,-23.95,
2012-03-03,340.78588025,24.9037226286,-36.98,51.65,-173.85,-23.95,
2012-03-04,324.429551814,43.693955003,-36.98,51.65,-173.85,-23.95,
