time_X,NO3,NO3_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,depth,
2015-01-01,,,2015-01-01,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-02,,,2015-01-02,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-03,0.0332039361586,0.159379329421,2015-01-03,0.241283859424,0.0444489395947,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-04,,,2015-01-04,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-05,,,2015-01-05,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-06,,,2015-01-06,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-07,,,2015-01-07,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-08,,,2015-01-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-09,,,2015-01-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-10,0.0417997541261,0.186711986472,2015-01-10,0.239774221331,0.0427744502363,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-11,,,2015-01-11,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-12,,,2015-01-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-13,,,2015-01-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-14,,,2015-01-14,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-15,,,2015-01-15,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-16,,,2015-01-16,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-17,0.0558081987028,0.225923346793,2015-01-17,0.240195129193,0.0424841805392,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-18,,,2015-01-18,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-19,,,2015-01-19,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-20,,,2015-01-20,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-21,,,2015-01-21,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-22,,,2015-01-22,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-23,,,2015-01-23,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-24,0.0722715589749,0.267767675451,2015-01-24,0.240198099356,0.0417268460679,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-25,,,2015-01-25,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-26,,,2015-01-26,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-27,,,2015-01-27,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-28,,,2015-01-28,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-29,,,2015-01-29,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-30,,,2015-01-30,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-01-31,0.089607437008,0.302288467645,2015-01-31,0.240053788706,0.0410160297888,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-01,,,2015-02-01,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-02,,,2015-02-02,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-03,,,2015-02-03,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-04,,,2015-02-04,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-05,,,2015-02-05,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-06,,,2015-02-06,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-07,0.116197498952,0.347838948357,2015-02-07,0.239143473694,0.0396278510873,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-08,,,2015-02-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-09,,,2015-02-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-10,,,2015-02-10,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-11,,,2015-02-11,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-12,,,2015-02-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-13,,,2015-02-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-14,0.150631468797,0.412579558158,2015-02-14,0.238987790112,0.0396615121356,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-15,,,2015-02-15,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-16,,,2015-02-16,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-17,,,2015-02-17,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-18,,,2015-02-18,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-19,,,2015-02-19,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-20,,,2015-02-20,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-02-21,0.159202626403,0.439832108797,2015-02-21,0.238995967707,0.0405027676544,23.0,33.0,-160.0,-150.0,0.494024991989,
