Fe,start_time,end_time,lat1,lat2,lon1,lon2,depth,
9.19677586353e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.93519996275e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.25715196191e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.43143961395e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.00939287222e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.47243017636e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.8257671147e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.25149085256e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.38837635354e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.03561701003e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.68934002431e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.77179263119e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.75609911821e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.7010315787e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.93464971846e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
7.56536928748e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
7.82670576882e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
9.66450716078e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.11574927359e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
6.66634696245e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.83668339055e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.64049697055e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.07590141549e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.07140942116e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.99553573516e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.66740129923e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.22920174969e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.48409867001e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
5.39791244591e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
9.07335561351e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.20206420636e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
2.26255269808e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
1.51800104504e-05,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
9.54902861849e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.7395378715e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.61746276414e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
4.27839722761e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
3.89242541132e-06,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,0.494024991989,
