Variable,Long Name,Unit,Make,Sensor,Process Level,Study Domain,Temporal Resolution,Spatial Resolution,Comment,Dataset Name,Data Source,Distributor,Dataset Description,Dataset_ID,ID,Table_Name,Keywords
vgosa,Geostrophic velocity anomalies: meridian component,m/s,Observation,Satellite,Reprocessed,Physics,Daily,1/4° X 1/4°,"The geostrophic velocity anomalies are referenced to the [1993, 2012] period.",Reprocessed Sea Surface Height and Derived Variables,SL-TAC,http://marine.copernicus.eu/,"""Multimission altimeter satellite gridded sea surface heights and derived variables computed with respect to a twenty-year mean. Previously distributed by Aviso+, no change in the scientific content.""  http://marine.copernicus.eu/",8,2,tblAltimetry_REP,vgosa v vgosa reprocessed geostrophic velocity anomalies meridian component observation daily satellite physics 
vgos,Absolute geostrophic velocity: meridian component,m/s,Observation,Satellite,Reprocessed,Physics,Daily,1/4° X 1/4°,surface_geostrophic_northward_sea_water_velocity,Reprocessed Sea Surface Height and Derived Variables,SL-TAC,http://marine.copernicus.eu/,"""Multimission altimeter satellite gridded sea surface heights and derived variables computed with respect to a twenty-year mean. Previously distributed by Aviso+, no change in the scientific content.""  http://marine.copernicus.eu/",8,6,tblAltimetry_REP,vgos v vgos reprocessed geostrophic velocity meridian component observation daily satellite physics 
sla,Sea Level Anomaly,m,Observation,Satellite,Reprocessed,Physics,Daily,1/4° X 1/4°,"The sea level anomaly is the sea surface height above mean sea surface; it is referenced to the [1993, 2012] period.",Reprocessed Sea Surface Height and Derived Variables,SL-TAC,http://marine.copernicus.eu/,"""Multimission altimeter satellite gridded sea surface heights and derived variables computed with respect to a twenty-year mean. Previously distributed by Aviso+, no change in the scientific content.""  http://marine.copernicus.eu/",8,9,tblAltimetry_REP,sla sla reprocessed sea level anomaly observation daily satellite physics 
adt,Absolute Dynamic Topography,m,Observation,Satellite,Reprocessed,Physics,Daily,1/4° X 1/4°,The absolute dynamic topography is the sea surface height above geoid; the adt is obtained as follows: adt=sla+mdt where mdt is the mean dynamic topography.,Reprocessed Sea Surface Height and Derived Variables,SL-TAC,http://marine.copernicus.eu/,"""Multimission altimeter satellite gridded sea surface heights and derived variables computed with respect to a twenty-year mean. Previously distributed by Aviso+, no change in the scientific content.""  http://marine.copernicus.eu/",8,10,tblAltimetry_REP,adt adt reprocessed absolute dynamic topography observation daily satellite physics 
ugosa,Geostrophic velocity anomalies: zonal component,m/s,Observation,Satellite,Reprocessed,Physics,Daily,1/4° X 1/4°,"The geostrophic velocity anomalies are referenced to the [1993, 2012] period.",Reprocessed Sea Surface Height and Derived Variables,SL-TAC,http://marine.copernicus.eu/,"""Multimission altimeter satellite gridded sea surface heights and derived variables computed with respect to a twenty-year mean. Previously distributed by Aviso+, no change in the scientific content.""  http://marine.copernicus.eu/",8,11,tblAltimetry_REP,ugosa u ugosa reprocessed geostrophic velocity anomalies zonal component observation daily satellite physics 
ugos,Absolute geostrophic velocity: zonal component,m/s,Observation,Satellite,Reprocessed,Physics,Daily,1/4° X 1/4°,surface_geostrophic_eastward_sea_water_velocity,Reprocessed Sea Surface Height and Derived Variables,SL-TAC,http://marine.copernicus.eu/,"""Multimission altimeter satellite gridded sea surface heights and derived variables computed with respect to a twenty-year mean. Previously distributed by Aviso+, no change in the scientific content.""  http://marine.copernicus.eu/",8,12,tblAltimetry_REP,ugos u ugos reprocessed absolute geostrophic velocity zonal component observation daily satellite physics 
wind_speed_rms,Wind speed root mean square,m/s,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,16,tblWind_NRT,wind_speed_rms wind speed rms near real time observation daily satellite physics 
eastward_wind_rms,Eastward wind speed root mean square,m/s,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,17,tblWind_NRT,eastward_wind_rms eastward wind speed root mean square near real time observation daily satellite physics 
wind_stress,Wind stress,Pa,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,18,tblWind_NRT,wind_stress wind stress near real time observation daily satellite physics 
eastward_wind,Eastward wind speed,m/s,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,19,tblWind_NRT,eastward_wind eastward wind speed near real time observation daily satellite physics 
