adt,start_time,end_time,lat1,lat2,lon1,lon2,
0.8318,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8521,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8729,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8929,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9143,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9282,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9322,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9405,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9427,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9173,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8824,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8691,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8732,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8748,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8735,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8764,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8849,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.8994,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9117,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9195,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9331,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9533,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9713,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9774,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9676,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9518,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.9414,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
0.937,2017-01-07,2017-01-07,30.57,35.21,-163.43,-156.17,
